Inj.,Injection Name,Type ,Level ,Vial,Volume ,RT,Expected RT,Quant Ion,Area,Amount ,Theo. Amt ,Concentration ,RF,ISTD Amount ,ISTD Area ,Comment 
188,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
189,Blank 2/21,Unknown,,11,2,8.78,n.a.,n.a.,9672,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
190,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
191,Bee sample 44,Unknown,,12,2,8.74,n.a.,n.a.,16811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
192,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
193,Bee sample 49,Unknown,,13,2,8.75,n.a.,n.a.,18471,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
194,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
195,Blank 2/22,Unknown,,2,2,8.78,n.a.,n.a.,12782,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
196,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
197,Bee sample 36,Unknown,,3,2,8.78,n.a.,n.a.,12446,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
198,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
199,Bee sample 37,Unknown,,4,2,8.74,n.a.,n.a.,23257,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
200,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
201,Blank 2/24,Unknown,,5,2,8.78,n.a.,n.a.,13332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
202,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
203,Bee sample 39,Unknown,,6,2,8.77,n.a.,n.a.,20773,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
204,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
205,Bee sample 40,Unknown,,7,2,8.77,n.a.,n.a.,16481,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
206,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
207,Bee sample 46,Unknown,,8,2,8.77,n.a.,n.a.,21311,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
208,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
209,Blank 2/25,Unknown,,9,2,8.77,n.a.,n.a.,16647,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
210,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
211,Bee sample 52,Unknown,,10,2,8.77,n.a.,n.a.,21415,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
212,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
213,Bee sample 53,Unknown,,11,2,8.77,n.a.,n.a.,15124,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
214,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
215,Blank 3/1,Unknown,,12,2,8.77,n.a.,n.a.,19189,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
216,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
217,Bee sample 50,Unknown,,2,2,8.76,n.a.,n.a.,14187,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
218,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
219,Bee sample 51,Unknown,,3,2,8.76,n.a.,n.a.,17487,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
220,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
221,Blank 3/4,Unknown,,4,2,8.77,n.a.,n.a.,20994,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
222,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
223,Bee sample 59,Unknown,,5,2,8.77,n.a.,n.a.,19833,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
224,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
225,Blank 3/6,Unknown,,6,2,8.77,n.a.,n.a.,35770,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
226,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
227,Bee sample 69,Unknown,,7,2,8.81,n.a.,n.a.,9852,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
228,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
229,Bee sample 83,Unknown,,8,2,8.76,n.a.,n.a.,26300,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
230,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
231,Blank 3/8,Unknown,,9,2,8.77,n.a.,n.a.,20881,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
232,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
233,Bee sample 66,Unknown,,10,2,8.74,n.a.,n.a.,21005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
234,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
235,Bee sample 67,Unknown,,11,2,8.77,n.a.,n.a.,22178,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
236,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
237,Bee sample 70,Unknown,,12,2,8.77,n.a.,n.a.,28495,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
238,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
239,Bee sample 71,Unknown,,13,2,8.77,n.a.,n.a.,23125,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
240,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
241,Bee sample 80,Unknown,,2,2,8.77,n.a.,n.a.,34504,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
242,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
243,Bee sample 81,Unknown,,3,2,8.77,n.a.,n.a.,19411,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
244,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
245,Blank 3/11,Unknown,,4,2,8.77,n.a.,n.a.,11436,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
246,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
247,Bee sample 62,Unknown,,5,2,8.82,n.a.,n.a.,6071,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
248,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
249,Blank 3/12,Unknown,,6,2,8.77,n.a.,n.a.,14841,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
250,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
251,Bee sample 72,Unknown,,7,2,8.82,n.a.,n.a.,11662,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
252,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
253,Bee sample 82,Unknown,,8,2,8.77,n.a.,n.a.,20755,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
254,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
255,Blank 3/14,Unknown,,9,2,8.78,n.a.,n.a.,12049,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
256,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
257,Bee sample 89,Unknown,,10,2,8.74,n.a.,n.a.,18822,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
258,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
259,Bee sample 92,Unknown,,11,2,8.81,n.a.,n.a.,27513,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
260,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
261,Bee sample 58,Unknown,,12,2,8.77,n.a.,n.a.,14556,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
262,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
263,Bee sample 47,Unknown,,13,2,8.77,n.a.,n.a.,14799,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
264,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
265,Bee sample 48,Unknown,,2,2,8.77,n.a.,n.a.,14903,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
266,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
267,Bee sample 102,Unknown,,3,2,8.77,n.a.,n.a.,14761,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
268,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
269,Bee sample 56,Unknown,,4,2,8.77,n.a.,n.a.,20071,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
270,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
271,Bee sample 98,Unknown,,5,2,8.77,n.a.,n.a.,18378,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
272,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
273,Bee sample 101,Unknown,,6,2,8.77,n.a.,n.a.,17445,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
274,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
275,Bee sample 106,Unknown,,7,2,8.77,n.a.,n.a.,21149,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
276,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
277,Blank 3/26,Unknown,,8,2,8.77,n.a.,n.a.,13988,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
278,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
279,Bee sample 35,Unknown,,9,2,8.77,n.a.,n.a.,14293,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
280,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
281,Bee sample 85,Unknown,,10,2,8.77,n.a.,n.a.,27546,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
282,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
283,Bee sample 88,Unknown,,11,2,8.77,n.a.,n.a.,13837,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
284,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
285,Bee sample 90,Unknown,,12,2,8.78,n.a.,n.a.,23832,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
286,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
287,Bee sample 97,Unknown,,13,2,8.77,n.a.,n.a.,21105,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
288,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
289,Bee sample 103,Unknown,,2,2,8.77,n.a.,n.a.,13039,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
290,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
291,Bee sample 104,Unknown,,3,2,8.77,n.a.,n.a.,18725,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
292,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
293,Blank 3/28,Unknown,,4,2,8.77,n.a.,n.a.,14625,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
294,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
295,Bee sample 112,Unknown,,5,2,8.74,n.a.,n.a.,23738,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
296,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
297,Bee sample 113,Unknown,,6,2,8.77,n.a.,n.a.,15595,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
298,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
299,Bee sample 114,Unknown,,7,2,8.77,n.a.,n.a.,14892,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
300,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
301,Bee sample 33,Unknown,,8,2,8.77,n.a.,n.a.,19205,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
302,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
303,Blank 4/9,Unknown,,9,2,8.78,n.a.,n.a.,14149,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
304,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
305,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
306,Bee sample 64,Unknown,,2,2,8.77,n.a.,n.a.,20176,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
307,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
308,Bee sample 34,Unknown,,3,2,8.74,n.a.,n.a.,19579,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
309,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
310,Bee sample 45,Unknown,,4,2,8.77,n.a.,n.a.,18405,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
311,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
312,Bee sample 65,Unknown,,5,2,8.77,n.a.,n.a.,13572,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
313,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
314,Bee sample 76,Unknown,,6,2,8.77,n.a.,n.a.,14110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
315,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
316,Blank 4/18,Unknown,,7,2,8.77,n.a.,n.a.,7785,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
317,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
318,Bee sample 29,Unknown,,8,2,8.77,n.a.,n.a.,12052,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
319,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
320,Bee sample 55,Unknown,,9,2,8.77,n.a.,n.a.,16792,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
321,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
322,Bee sample 57,Unknown,,10,2,8.77,n.a.,n.a.,16352,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
323,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
324,Bee sample 99,Unknown,,11,2,8.77,n.a.,n.a.,15778,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
325,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
326,Bee sample 60,Unknown,,12,2,8.77,n.a.,n.a.,19553,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
327,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
328,Bee sample 91,Unknown,,13,2,8.77,n.a.,n.a.,19319,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
329,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
330,Bee sample 111,Unknown,,14,2,8.77,n.a.,n.a.,16944,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
331,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
332,Bee sample 63,Unknown,,15,2,8.77,n.a.,n.a.,17664,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
333,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
334,Bee sample 108,Unknown,,2,2,8.77,n.a.,n.a.,17190,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
335,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
336,Bee sample 94,Unknown,,3,2,8.77,n.a.,n.a.,20223,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
337,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
338,Bee sample 86,Unknown,,4,2,8.77,n.a.,n.a.,15368,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
339,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
340,Bee sample 68,Unknown,,5,2,8.74,n.a.,n.a.,21980,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
341,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
342,Bee sample 61,Unknown,,6,2,8.77,n.a.,n.a.,14882,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
343,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
344,Bee sample 100,Unknown,,7,2,8.77,n.a.,n.a.,16186,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
345,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
346,Bee sample 75,Unknown,,8,2,8.77,n.a.,n.a.,20729,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
347,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
348,Bee sample 43,Unknown,,9,2,8.77,n.a.,n.a.,45189,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
349,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
350,Bee sample 109,Unknown,,10,2,8.77,n.a.,n.a.,18469,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
351,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
352,Bee sample 96,Unknown,,11,2,8.77,n.a.,n.a.,16700,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
353,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
354,Bee sample 107,Unknown,,12,2,8.77,n.a.,n.a.,16075,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
355,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
356,Bee sample 95,Unknown,,13,2,8.77,n.a.,n.a.,17035,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
357,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
358,hexane end quant,Unknown,,1,2,8.78,n.a.,n.a.,29374,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
